asset,benchmark_solution,approximation_solution,diff,number_of_scenarios,seed
wind,2.5722563785051857,2.0754215017981816,-0.19315138290986747,70,2
solar,0.09469336081725313,0.49340464687113295,4.21055164388288,70,2
ocgt,0.30852758764099497,0.30714538484368215,-0.004479997422211616,70,2
electrolizer,1.0368136769576832,1.0235758575826075,-0.012767790075763076,70,2
wind_offshore,0.0,0.0,0.0,70,2
battery,0.0,0.0,0.0,70,2
ccgt,1.3007009980140445,1.2175966005824324,-0.0638920071242344,70,3
wind,2.58756847804157,3.1996437684178276,0.23654457672150714,70,3
solar,0.1658225803601034,0.6556397640190075,2.9538629937805094,70,3
ocgt,0.15843387019144806,0.1991073259171717,0.25672197287470616,70,3
electrolizer,1.0554139274616257,1.1629788585032432,0.10191729353081574,70,3
wind_offshore,0.0,0.0,0.0,70,3
battery,0.0,0.0,0.0,70,3
ccgt,1.2795987570923464,1.2721888771741465,-0.005790783929047767,70,4
wind,2.664383463679291,3.0271454372113027,0.13615231383813942,70,4
solar,0.038918287378961386,0.0,-1.0,70,4
ocgt,0.41159307152141483,0.42855698697757816,0.0412152599980797,70,4
electrolizer,1.0451976921211303,1.0690194758310834,0.022791653569009473,70,4
wind_offshore,0.0,0.0,0.0,70,4
battery,0.0,0.0,0.0,70,4
ccgt,1.2157802778207043,1.230437227739863,0.012055591118348594,70,5
wind,2.7059987110591983,3.1128065169523036,0.15033555050507402,70,5
solar,0.4488309675487596,0.24750853735803305,-0.44854843971713143,70,5
ocgt,0.5668288571237317,0.4414459252948573,-0.22120068562688722,70,5
electrolizer,1.0721436557234687,1.1161063567509355,0.04100448740500296,70,5
wind_offshore,0.0,0.0,0.0,70,5
battery,0.0,0.0,0.0,70,5
ccgt,1.2139465674592638,1.1841402817743267,-0.024553210564547557,70,6
wind,2.6783647855582164,2.44289855180326,-0.08791417622595472,70,6
solar,0.47051028759259067,0.8298761922946442,0.7637790589888742,70,6
ocgt,0.5667550566365532,0.5935156828040364,0.0472172693549414,70,6
electrolizer,1.0780985019365223,1.1609860404593744,0.07688308477747276,70,6
wind_offshore,0.0,0.0,0.0,70,6
battery,0.0,0.0,0.0,70,6
ccgt,1.2610330257489808,1.2832709218423815,0.017634665896392863,70,7
wind,2.5597807495505003,1.6115701339131965,-0.37042649680204465,70,7
solar,0.16052736085430955,0.3045035624919904,0.8968950892324823,70,7
ocgt,0.47493746136459897,0.4061961976660969,-0.14473750607289101,70,7
electrolizer,1.0603481951316913,1.0,-0.056913564250652866,70,7
wind_offshore,0.0,0.0,0.0,70,7
battery,0.0,0.0,0.0,70,7
ccgt,1.3073434920653533,1.3091973536235484,0.0014180370877636495,70,8
wind,2.575353689849156,2.4962419869665986,-0.03071877202513141,70,8
solar,0.11848311162980135,0.12195106421328335,0.029269594086265723,70,8
ocgt,0.0867025437384657,0.08450509678633226,-0.02534466530488347,70,8
electrolizer,1.0,1.0000000000000004,4.440892098500626e-16,70,8
wind_offshore,0.0,0.0,0.0,70,8
battery,0.0,0.0,0.0,70,8
ccgt,1.220010643082816,1.2280577068842895,0.0065958963941000065,70,9
wind,2.65634110571433,2.543188178327765,-0.04259728810548852,70,9
solar,0.769815771213466,0.7773945247069601,0.009844892475439527,70,9
ocgt,0.14149942038486035,0.09953871456449036,-0.2965433053099598,70,9
electrolizer,1.0459973655456174,1.0490150852804614,0.002885016572933602,70,9
wind_offshore,0.0,0.0,0.0,70,9
battery,0.0,0.0,0.0,70,9
ccgt,1.2639505639769695,1.2003479279038374,-0.05032050927135075,70,10
wind,2.6081605237058794,2.339747184933609,-0.10291289064941743,70,10
solar,0.13012399861849874,0.868689571249417,5.675859798900477,70,10
ocgt,0.466044450990054,0.6688911213876076,0.43525176614941113,70,10
electrolizer,1.0594436094079538,1.068333190126792,0.008390801209142236,70,10
wind_offshore,0.0,0.0,0.0,70,10
battery,0.0,0.0,0.0,70,10
