from_asset,to_asset,commission_year,producer_efficiency
HR_E_Demand,HR_Battery,2050,0.955
HR_E_Demand,HR_Pump_Hydro_Open,2050,0.875
HR_E_Demand,HR_electrolyzer,2050,1.0
HR_E_Demand,HU_E_Demand,2050,
HR_E_Demand,SI_E_Demand,2050,
HR_Gas,HR_E_Demand,2050,1.0
HR_Hydro,HR_E_Demand,2050,1.0
HR_Hydro_Reservoir,HR_E_Demand,2050,1.0
HR_Pump_Hydro_Open,HR_E_Demand,2050,0.875
HR_Solar,HR_E_Demand,2050,1.0
HR_Wind_Offshore,HR_E_Demand,2050,1.0
HR_Wind_Onshore,HR_E_Demand,2050,1.0
HR_electrolyzer,HR_H_Demand,2050,0.65
HU_Battery,HU_E_Demand,2050,0.955
HU_E_Demand,AT_E_Demand,2050,
HU_E_Demand,HU_Battery,2050,0.955
HU_E_Demand,HU_electrolyzer,2050,1.0
HU_E_Demand,SI_E_Demand,2050,
HU_Gas,HU_E_Demand,2050,1.0
HU_Hydro,HU_E_Demand,2050,1.0
HU_Nuclear,HU_E_Demand,2050,1.0
HU_OCGT,HU_E_Demand,2050,1.0
HU_Solar,HU_E_Demand,2050,1.0
HU_Wind_Onshore,HU_E_Demand,2050,1.0
HU_electrolyzer,HU_H_Demand,2050,0.65
IE_Battery,IE_E_Demand,2050,0.955
IE_E_Demand,FR_E_Demand,2050,
IE_E_Demand,IE_Battery,2050,0.955
IE_E_Demand,IE_Pump_Hydro_Closed,2050,0.875
IE_E_Demand,IE_electrolyzer,2050,1.0
IE_E_Demand,UK_E_Demand,2050,
IE_Gas,IE_E_Demand,2050,1.0
IE_Hydro,IE_E_Demand,2050,1.0
IE_OCGT,IE_E_Demand,2050,1.0
IE_Pump_Hydro_Closed,IE_E_Demand,2050,0.875
IE_Solar,IE_E_Demand,2050,1.0
IE_Wind_Offshore,IE_E_Demand,2050,1.0
IE_Wind_Onshore,IE_E_Demand,2050,1.0
IE_electrolyzer,IE_H_Demand,2050,0.65
IT_Battery,IT_E_Demand,2050,0.955
IT_E_Demand,AT_E_Demand,2050,
IT_E_Demand,CH_E_Demand,2050,
IT_E_Demand,FR_E_Demand,2050,
IT_E_Demand,IT_Battery,2050,0.955
IT_E_Demand,IT_Pump_Hydro_Closed,2050,0.875
IT_E_Demand,IT_Pump_Hydro_Open,2050,0.875
IT_E_Demand,IT_electrolyzer,2050,1.0
IT_Gas,IT_E_Demand,2050,1.0
IT_Hydro,IT_E_Demand,2050,1.0
IT_Hydro_Reservoir,IT_E_Demand,2050,1.0
IT_OCGT,IT_E_Demand,2050,1.0
IT_Pump_Hydro_Closed,IT_E_Demand,2050,0.875
IT_Pump_Hydro_Open,IT_E_Demand,2050,0.875
IT_Solar,IT_E_Demand,2050,1.0
IT_Wind_Offshore,IT_E_Demand,2050,1.0
IT_Wind_Onshore,IT_E_Demand,2050,1.0
IT_electrolyzer,IT_H_Demand,2050,0.65
LT_Battery,LT_E_Demand,2050,0.955
LT_E_Demand,LT_Battery,2050,0.955
LT_E_Demand,LT_Pump_Hydro_Closed,2050,0.875
LT_E_Demand,LT_electrolyzer,2050,1.0
LT_E_Demand,PL_E_Demand,2050,
LT_E_Demand,SE_E_Demand,2050,
LT_Gas,LT_E_Demand,2050,1.0
LT_Hydro,LT_E_Demand,2050,1.0
LT_Pump_Hydro_Closed,LT_E_Demand,2050,0.875
LT_Solar,LT_E_Demand,2050,1.0
LT_Wind_Offshore,LT_E_Demand,2050,1.0
LT_Wind_Onshore,LT_E_Demand,2050,1.0
LT_electrolyzer,LT_H_Demand,2050,0.65
LU_E_Demand,BE_E_Demand,2050,
LU_E_Demand,DE_E_Demand,2050,
LU_E_Demand,FR_E_Demand,2050,
LU_E_Demand,LU_Pump_Hydro_Closed,2050,0.875
LU_E_Demand,LU_electrolyzer,2050,1.0
LU_Hydro,LU_E_Demand,2050,1.0
LU_Pump_Hydro_Closed,LU_E_Demand,2050,0.875
LU_Solar,LU_E_Demand,2050,1.0
LU_Wind_Onshore,LU_E_Demand,2050,1.0
LU_electrolyzer,LU_H_Demand,2050,0.65
LV_Battery,LV_E_Demand,2050,0.955
LV_E_Demand,LT_E_Demand,2050,
