asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
HU_Gas,2050,95000.00000000000,9.209999999999999,0.0000000000,0.0
HU_H_Demand,2050,,,0.0000000000,0.0
HU_Hydro,2050,,0.192,0.0000000000,0.0
HU_Nuclear,2050,950000.00000000000,7.08,0.0000000000,0.0
HU_OCGT,2050,55000.00000000000,0.46199999999999997,0.0000000000,0.0
HU_Solar,2050,34342.98027538492,70.188,0.0000000000,0.0
HU_Wind_Onshore,2050,77356.32865703155,9.0,0.0000000000,0.0
HU_electrolyzer,2050,800000.00000000000,12.636986301,0.0000000000,0.0
IE_Battery,2050,77577.85030576670,156.618,19394.4625764417,313.236
IE_E_Demand,2050,,,0.0000000000,0.0
IE_Gas,2050,95000.00000000000,23.799,0.0000000000,0.0
IE_H_Demand,2050,,,0.0000000000,0.0
IE_Hydro,2050,,0.645,0.0000000000,0.0
IE_OCGT,2050,55000.00000000000,0.34800000000000003,0.0000000000,0.0
IE_Pump_Hydro_Closed,2050,,0.8759999999999999,0.0000000000,0.0
IE_Solar,2050,34342.98027538492,36.339,0.0000000000,0.0
IE_Wind_Offshore,2050,119732.61777406993,63.17099999999999,0.0000000000,0.0
IE_Wind_Onshore,2050,77356.32865703155,33.924,0.0000000000,0.0
IE_electrolyzer,2050,800000.00000000000,8.116438356,0.0000000000,0.0
IT_Battery,2050,77577.85030576670,428.343,19394.4625764417,856.686
IT_E_Demand,2050,,,0.0000000000,0.0
IT_Gas,2050,95000.00000000000,125.72999999999999,0.0000000000,0.0
IT_H_Demand,2050,,,0.0000000000,0.0
IT_Hydro,2050,,47.538,0.0000000000,0.0
IT_Hydro_Reservoir,2050,,28.728,0.0000000000,0.0
IT_OCGT,2050,55000.00000000000,12.96,0.0000000000,0.0
IT_Pump_Hydro_Closed,2050,,18.6,0.0000000000,0.0
IT_Pump_Hydro_Open,2050,,9.762,0.0000000000,0.0
IT_Solar,2050,34342.98027538492,708.4019999999999,0.0000000000,0.0
IT_Wind_Offshore,2050,119732.61777406993,55.5,0.0000000000,0.0
IT_Wind_Onshore,2050,77356.32865703155,114.63,0.0000000000,0.0
IT_electrolyzer,2050,800000.00000000000,50.00000001000001,0.0000000000,0.0
LT_Battery,2050,77577.85030576670,10.974,19394.4625764417,21.948
LT_E_Demand,2050,,,0.0000000000,0.0
LT_Gas,2050,95000.00000000000,0.879,0.0000000000,0.0
LT_H_Demand,2050,,,0.0000000000,0.0
LT_Hydro,2050,,0.378,0.0000000000,0.0
LT_Pump_Hydro_Closed,2050,,2.79,0.0000000000,0.0
LT_Solar,2050,34342.98027538492,22.727999999999998,0.0000000000,0.0
LT_Wind_Offshore,2050,119732.61777406993,22.799999999999997,0.0000000000,0.0
LT_Wind_Onshore,2050,77356.32865703155,16.950000000000003,0.0000000000,0.0
LT_electrolyzer,2050,800000.00000000000,6.198630138,0.0000000000,0.0
LU_E_Demand,2050,,,0.0000000000,0.0
LU_H_Demand,2050,,,0.0000000000,0.0
LU_Hydro,2050,,0.129,0.0000000000,0.0
LU_Pump_Hydro_Closed,2050,,3.93,0.0000000000,0.0
LU_Solar,2050,34342.98027538492,6.57,0.0000000000,0.0
LU_Wind_Onshore,2050,77356.32865703155,1.7999999999999998,0.0000000000,0.0
LU_electrolyzer,2050,800000.00000000000,1.5410958900000002,0.0000000000,0.0
LV_Battery,2050,77577.85030576670,0.44699999999999995,19394.4625764417,0.894
LV_E_Demand,2050,,,0.0000000000,0.0
LV_Gas,2050,95000.00000000000,0.21899999999999997,0.0000000000,0.0
