scenario,ccgt,ocgt,solar,wind,wind_offshore,electrolizer,battery,objective_value,termination_status,solve_time
39,32706.20463820543,5558.103822689631,9061.027675514635,35644.914632420965,0.0,0.10982471809757742,1386.320659789231,1.550593050716582e7,OPTIMAL,5.3356725
40,36616.054665013944,1608.9701059674187,8034.675449265756,563.4049938550291,0.0,0.10476549779595706,3265.70622161983,1.5974981365422865e7,OPTIMAL,8.0641391
41,34729.78105944654,2571.041440816938,0.0,32487.505918027444,0.0,0.10020589098219557,5432.007867974109,1.573445871145538e7,OPTIMAL,6.317233
42,35518.65859628892,2591.1822739438253,0.0,32792.77740859434,0.0,0.10152279846849988,2407.373324597541,1.5700668598434664e7,OPTIMAL,7.0115479
43,33433.815254823676,3926.5789586490096,7367.8546498606365,33134.674574369645,0.0,0.10029423966998069,4797.268081984876,1.5892030980355784e7,OPTIMAL,15.3395586
44,32417.3254509892,3599.1903637911655,1922.1945140549487,39605.75869030544,0.0,0.10045633622853319,6605.263585403267,1.458314500929111e7,OPTIMAL,8.048316
45,33832.103441251726,2998.3785172535167,6206.80281602103,34077.100319926496,0.0,0.10219605929360101,3277.430630421226,1.5553121245049078e7,OPTIMAL,6.0913661
46,34730.02307577879,2279.2322837305255,795.8724041918902,38608.33172465406,0.0,0.10564434953575222,7313.4264337046525,1.5770258433135185e7,OPTIMAL,5.3689625
47,33061.1226867336,4300.670093993149,12051.072737358261,35039.728546908846,0.0,0.10029332803387339,4620.0620141997515,1.5938944072732436e7,OPTIMAL,13.2925285
48,33491.07103230362,3706.9082108509465,0.0,37301.50949710974,0.0,0.10023054804873488,5100.365206489314,1.547096754288994e7,OPTIMAL,8.7591237
49,35522.96764428022,3711.5925386844497,4940.6983764312445,32360.982305099158,0.0,0.10915361731341311,3518.7173584568113,1.6172527135834683e7,OPTIMAL,6.3864207
50,35448.27168311577,3427.0037322146127,3106.5133961063875,34212.38658015508,0.0,0.10514535631592498,2727.589796765035,1.5945477401195133e7,OPTIMAL,7.0628281
51,35112.492643318314,2324.148895833999,44.98499116091212,34055.30727178664,0.0,0.10625209333482195,5750.382925844628,1.5786745933681235e7,OPTIMAL,8.4922378
52,34813.08367443188,3717.5844253691016,7653.531236912146,36607.9442677931,0.0,0.1057885258554156,3236.1201183610406,1.5895206440736758e7,OPTIMAL,8.4114865
53,36281.47625531279,2415.5250988179027,7311.4409635229895,10446.874903966227,0.0,0.10804274142586315,1653.953137200212,1.6096025397603124e7,OPTIMAL,5.4505409
54,34681.731129945125,3854.2831898194563,3511.322680113057,31665.34665033844,0.0,0.10551349329027533,2848.1090905001315,1.5928922693992194e7,OPTIMAL,7.4560348
55,37789.30866109588,1730.4628674740663,858.1090451208565,291.90289297347095,0.0,0.10720872255429069,2292.793289768549,1.5929086337041922e7,OPTIMAL,7.0017424
56,33112.979012302094,3691.183167481042,7478.380952496148,37929.750060607905,0.0,0.10040400017891438,4981.995821825185,1.5877703903346807e7,OPTIMAL,14.4481421
57,34478.59002984594,4495.884509277676,3442.663289072217,36902.44374502457,0.0,0.10950972104818246,2678.324600714101,1.5696942036585473e7,OPTIMAL,5.6304047
58,33205.23271545652,3817.5824087263363,8711.38012145845,38036.69084261173,0.0,0.10040053299497827,5248.991823009157,1.5643228324252697e7,OPTIMAL,10.2647542
59,37422.30869285787,2385.3159512901993,2815.496692380368,2380.6868385353773,0.0,0.10448998572825972,1391.9952622115065,1.6100516274298787e7,OPTIMAL,8.0571618
60,33955.442106461735,4178.385537243575,0.0,39754.498676987714,0.0,0.10550433466354761,4280.530365931685,1.5241381149165224e7,OPTIMAL,6.1602694
61,38413.26907963136,1335.1759318396143,273.6195659037012,0.0,0.0,0.10035160147145208,3851.769990444882,1.643057551588161e7,OPTIMAL,9.4066481
62,30867.91144054501,4754.947808813628,25316.40834895353,35466.47081619143,0.0,0.11213776361705362,4236.170273717562,1.5502232776187588e7,OPTIMAL,7.3584551
63,33592.11776228885,3641.438239103788,0.0,37260.098617288124,0.0,0.10455166135639518,5982.327121311541,1.5364570349403214e7,OPTIMAL,6.0999913
64,34618.476269385756,3836.7693239722075,0.0,34659.21737343676,0.0,0.10450218677643433,3681.7664762763015,1.5703202277174508e7,OPTIMAL,6.8531101
65,34017.16112258595,3364.713833692076,4585.307269806034,33542.66759814934,0.0,0.10040454272585196,5031.712423333154,1.6103738787003905e7,OPTIMAL,16.5735245
66,32724.81034769176,3406.8384873971177,8124.3709958699,34287.22467897001,0.0,0.10033052561836463,3455.6762501866615,1.5537956633586664e7,OPTIMAL,12.6790938
67,32747.198010659762,2364.0254866753116,9779.534863588666,36206.12320153174,0.0,0.10029325534696126,6122.825627656904,1.5307681304657413e7,OPTIMAL,5.8094445
68,33660.59100753558,2952.3318104702576,14753.085672460602,33488.7822967428,0.0,0.10054708533091461,6119.250867349604,1.5753915221387656e7,OPTIMAL,8.0947049
69,33686.59728921948,3592.455488575062,3101.5496015210524,37325.254690717484,0.0,0.10217143477552802,4650.124896750812,1.5361940952923642e7,OPTIMAL,7.5055341
70,32248.266249528027,2619.7864292735417,9298.927125859273,38192.593351772935,0.0,0.1042077580539119,5896.138647631088,1.5301789114963565e7,OPTIMAL,4.8651505
71,33210.09492671597,3439.100792029647,4605.770779447133,36149.286906642534,0.0,0.10845308537616222,3378.369032440869,1.5483968438848674e7,OPTIMAL,5.5651546
72,32141.362730803346,3826.450110053938,13807.404285903758,35651.098504649155,0.0,0.1037654653039269,4326.325344373864,1.5578336270003904e7,OPTIMAL,6.8918835
73,40124.90772789543,3890.3927490769274,0.0,43831.93410814154,0.0,0.10215525686743224,7945.772511107891,1.8728362402391784e7,OPTIMAL,6.5842143
74,41072.98728016616,2733.1750069991003,0.0,45016.720241480856,0.0,0.10373322382543433,3350.491450728533,1.81589564880969e7,OPTIMAL,6.5127677
75,39285.308667159625,7658.380177152838,8294.2593355799,43677.9809643401,0.0,0.10754378933968267,1916.1031902764516,1.8715758042496007e7,OPTIMAL,5.66926
76,42815.17452472859,4082.874876958449,6437.785918981929,8703.806730923496,0.0,0.10391217174433959,2158.8479394773913,1.9296085851922166e7,OPTIMAL,9.6256069
77,41607.399676302564,2592.937989648138,0.0,40853.12395192476,0.0,0.10338123415046481,5585.844471575634,1.8846169621108014e7,OPTIMAL,6.2246878
78,42249.05837844659,3260.9142636736506,0.0,40285.71084106844,0.0,0.10174034110685702,3103.8369889673554,1.8856387345908195e7,OPTIMAL,6.9898141
79,40341.80445360714,4596.420710831438,8180.945090969221,39591.348702375595,0.0,0.10029922426110303,3443.165607512596,1.9023771738299698e7,OPTIMAL,12.6706938
80,38870.976693329154,4607.633835153787,3181.114876508383,47355.27547355451,0.0,0.1004569235338466,4019.6765448449173,1.743760878186152e7,OPTIMAL,10.620928
81,40103.77292202151,3211.730767533294,9278.945562432005,41924.06253672692,0.0,0.10244006588177888,5018.228769168508,1.866433779157945e7,OPTIMAL,5.7805009
82,41363.67562961359,2790.636596577737,2397.167560586375,46280.02193381943,0.0,0.10525969756738984,6791.714798567164,1.8823320306827784e7,OPTIMAL,6.4155215
83,40275.08033740506,5048.837294375982,10318.958122323487,42026.12075865478,0.0,0.10032306121055441,3394.9938706429684,1.9060207659172747e7,OPTIMAL,11.5526902
84,40032.74084625353,4524.920640503431,1040.5446572101714,45305.89764345238,0.0,0.1013703926664416,3427.327555191641,1.851589762926033e7,OPTIMAL,5.4061881
85,43181.086036619046,4412.430592061638,0.0,39837.29772194906,0.0,0.10548610838982707,4346.502162523556,1.9379148000825793e7,OPTIMAL,7.4779252
86,41883.70658060555,3780.7841788446385,5530.27527316409,42018.96407327155,0.0,0.10577283879347679,3060.5801119050084,1.9037726030019302e7,OPTIMAL,6.7013097
87,41723.582356770516,2629.766690248102,2501.7591080188104,40451.05472155499,0.0,0.10484832457329218,7112.489809393461,1.8969200297447145e7,OPTIMAL,6.3735149
88,41332.8164798739,4301.073758688521,7237.681865995097,44667.15729101307,0.0,0.11046127692961533,5893.191803710721,1.9009239180396315e7,OPTIMAL,4.3331031
89,42535.28620905984,3864.1695405593564,1107.3848036654074,38679.38539018979,0.0,0.10451907189560956,4859.563441990013,1.937802261307692e7,OPTIMAL,7.0177001
90,41312.02667876358,4888.249295866995,2992.344544980988,39171.086719457,0.0,0.10511116790186521,4933.2140115727925,1.9153300298058804e7,OPTIMAL,7.7633825
91,44718.71462081812,2528.779767060039,1283.9580073239936,3973.461574230771,0.0,0.10855492977828468,2667.2507557393055,1.9245857314564206e7,OPTIMAL,5.5662727
92,39584.82157338175,3797.133932014789,10020.87190973795,45828.492293731266,0.0,0.10040454272585225,5198.423811034434,1.893320778613124e7,OPTIMAL,13.3302482
93,41652.32544099328,5614.8068776405635,1437.797409032172,44785.54429395858,0.0,0.10950972104818246,1864.0145469303025,1.8787461661103975e7,OPTIMAL,6.3619348
94,39682.02456017962,4368.901020658362,11988.711654728397,45595.579592587295,0.0,0.10042924626502091,3662.523200756774,1.8665133621152256e7,OPTIMAL,18.2441367
95,43511.05409230928,3259.52534123809,0.0,14023.660671326907,0.0,0.10446578095344435,5247.507039373368,1.937904442461109e7,OPTIMAL,6.264799
96,39792.534361025064,4505.198174382486,1064.7038701546642,48013.52789564449,0.0,0.10550433466354761,7064.622837508249,1.818013104566217e7,OPTIMAL,4.4944082
97,45355.6857247278,1958.1580970356881,1540.5018153280887,690.6599069239765,0.0,0.10035177566093519,3530.620518828233,1.9674293551654525e7,OPTIMAL,12.8427212
98,37821.93060113743,6146.278218895696,23985.98976924363,42663.26147954515,0.0,0.10645508337816048,3065.1992725030677,1.860829899992784e7,OPTIMAL,5.9999487
99,40490.15486773336,3939.9032591488376,0.0,44867.8292367232,0.0,0.10455166135639518,5478.723494232868,1.839601288313232e7,OPTIMAL,5.038669
100,41729.55943945344,4561.330074388087,0.0,41506.51179981136,0.0,0.10577283879347679,1669.78857821761,1.8808755131542183e7,OPTIMAL,7.8029025
101,40322.3730396842,3982.6164938164216,8699.705441961312,40999.94833266537,0.0,0.12958579881656818,4696.031910859142,1.925058479853542e7,OPTIMAL,7.4185089
102,40212.28846521268,4004.8633311968197,4512.870352685258,41472.76557485906,0.0,0.10033503413921736,2540.6917512698474,1.865947552125759e7,OPTIMAL,10.1832502
103,39991.93844860352,2596.9768492357925,9008.50911670945,43587.02078355604,0.0,0.10293270308968899,5752.799226012812,1.8408068191645313e7,OPTIMAL,6.107303
104,41016.14801549841,3967.4804054591486,13093.909989838841,40228.64242630301,0.0,0.10035060322014411,4602.468670674925,1.890571189065607e7,OPTIMAL,11.9371806
105,41081.8149365768,4272.525645947126,2034.092250003636,44609.478670040495,0.0,0.10837827931088642,3157.575371198167,1.842212513887969e7,OPTIMAL,5.9289966
106,38079.85034338309,2683.9877615404357,14011.008035509649,46006.3116185503,0.0,0.11227262765724302,11089.660459141172,1.838774079891304e7,OPTIMAL,4.684173
107,39642.54681410795,3333.263614746349,7079.0186842675985,43902.92385952525,0.0,0.1084155161078237,4433.536785918768,1.855860920065338e7,OPTIMAL,7.6253655
108,38818.57019437313,4529.128416210153,15951.533437771177,43276.7324993166,0.0,0.10385203890559286,4053.5815911051886,1.8690647155635852e7,OPTIMAL,8.6316511
109,44761.376580022516,5066.101464902291,441.9796997577138,48331.7589307258,0.0,0.10195770380920227,5183.983360561979,2.0835667424365144e7,OPTIMAL,6.4473239
