milestone_year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,3,4848,0.0,0.411868515954602,0.11044358044018272,18398.5,255.0
2030,3,4849,0.0,0.33393342782950897,0.09715015397255529,18198.1,255.0
2030,3,4850,0.0,0.2615605698684213,0.0802354846648624,17789.2,255.0
2030,3,4851,0.0,0.19977858922190322,0.06092104385545844,17530.4,255.0
2030,3,4852,0.0,0.15770979381283104,0.04303539965459761,17168.0,255.0
2030,3,4853,0.0002375,0.1326312699616974,0.036606384831582336,16731.0,255.0
2030,3,4854,0.03354,0.12874013919498636,0.04431159056021971,15615.5,255.0
2030,3,4855,0.1643175,0.12355342997082056,0.03927965811382497,16232.8,255.0
2030,3,4856,0.28342999999999996,0.11710031670672752,0.03127000135181571,17388.4,255.0
2030,3,4857,0.3788,0.10788753680521629,0.03226549869011813,18632.8,255.0
2030,3,4858,0.45310500000000004,0.1061265588382872,0.0396005812413365,19185.8,255.0
2030,3,4859,0.4916725,0.10571674008491387,0.041558519918219225,19488.9,255.0
2030,3,4860,0.50553,0.11727673166942042,0.04430527632955585,19860.5,255.0
2030,3,4861,0.56149,0.1469974219184001,0.056962528213829765,19990.0,255.0
2030,3,4862,0.613405,0.19917092582895735,0.07710887618831137,19582.5,255.0
2030,3,4863,0.6758375,0.26242157896008994,0.09950395572638722,19959.8,255.0
2030,3,4864,0.7013125,0.3238808773702226,0.12555836891016584,20053.3,255.0
2030,3,4865,0.706268266057749,0.3808134518333181,0.14434802855142143,19794.0,255.0
2030,3,4866,0.682175,0.4306972299927172,0.15028347486077276,20058.2,255.0
2030,3,4867,0.473735,0.47718010959272905,0.1541913285813107,19912.8,255.0
2030,3,4868,0.15382,0.5228328074117528,0.1792958110924278,19299.5,255.0
2030,3,4869,0.0081875,0.5770640853625513,0.21351349423338317,18797.7,255.0
2030,3,4870,0.0,0.6144806678116784,0.2508200165621814,18437.6,255.0
2030,3,4871,0.0,0.6268828467106038,0.2792791306470964,17824.4,255.0
2030,3,4872,0.0,0.6169571500117863,0.2738668529363894,16562.2,255.0
2030,3,4873,0.0,0.5954452710491711,0.2538303194916855,16126.6,255.0
2030,3,4874,0.0,0.5616223615129133,0.2302423133909697,15524.8,255.0
2030,3,4875,0.0,0.5420340578946206,0.21545116111642926,15231.1,255.0
