scenario,milestone_year,period,rep_period,weight
5,2030,46,13,0.18164442236290487
5,2030,46,21,0.23585419805551971
5,2030,47,23,1.0
5,2030,48,2,0.055922536410159554
5,2030,48,16,0.9440774635898405
5,2030,49,16,1.0
5,2030,50,3,0.22277636655099767
5,2030,50,5,0.03433472974261564
5,2030,50,8,0.048665416178095854
5,2030,50,14,0.027236710586674574
5,2030,50,16,0.5959768914988145
5,2030,50,17,0.07100988544280186
5,2030,51,1,0.052064138418507405
5,2030,51,12,0.057325388680520964
5,2030,51,21,0.04103705667617558
5,2030,51,23,0.8495734162247961
5,2030,52,3,0.020851094058822187
5,2030,52,5,0.18537027385458077
5,2030,52,10,0.0275889454152029
5,2030,52,14,0.07179601887532358
5,2030,52,23,0.6943936677960706
5,2030,53,3,0.1561148272195662
5,2030,53,5,0.1445642481727384
5,2030,53,11,0.021598289944304565
5,2030,53,14,0.1103853917334263
5,2030,53,17,0.09580533637058519
5,2030,53,23,0.4715319065593794
5,2030,54,10,1.0
5,2030,55,2,0.07931802341677713
5,2030,55,3,0.3870697588655694
5,2030,55,5,0.1121361427317841
5,2030,55,12,0.16785740239426622
5,2030,55,14,0.13653719427367855
5,2030,55,17,0.1170814783179245
5,2030,56,1,0.25444351059307163
5,2030,56,3,0.05281328882392913
5,2030,56,5,0.013660903737017468
5,2030,56,19,0.36042184123539583
5,2030,56,21,0.07069607477019
5,2030,56,22,0.24796438084039596
5,2030,57,1,0.4013866960943892
5,2030,57,10,0.015450641242150447
5,2030,57,13,0.5210332058122792
5,2030,57,21,0.06212945685118117
5,2030,58,3,0.014620275511719344
5,2030,58,4,0.04964122231922986
5,2030,58,5,0.04190505453495283
5,2030,58,7,0.07799013348449196
5,2030,58,8,0.34832669706924
5,2030,58,9,0.03183258046468597
5,2030,58,10,0.05768724953497972
5,2030,58,12,0.12072797200513515
5,2030,58,13,0.06581161697983157
5,2030,58,16,0.026197977953848327
5,2030,58,17,0.03629663759424959
5,2030,58,18,0.0354220586552941
5,2030,58,21,0.013532942938187704
5,2030,58,23,0.08000758095415379
5,2030,59,3,0.014092735008412443
5,2030,59,5,0.23296800573491888
5,2030,59,13,0.6177924608830616
5,2030,59,21,0.13514679837360707
5,2030,60,2,0.23368441709427196
5,2030,60,3,0.06569353233500932
5,2030,60,12,0.019378065835548873
5,2030,60,17,0.0888806274951726
5,2030,60,23,0.5923633572399973
5,2030,61,4,0.14497656912231804
5,2030,61,5,0.17136196287308897
5,2030,61,10,0.02829678429471921
5,2030,61,12,0.07771819700498411
5,2030,61,13,0.04914991254976586
5,2030,61,14,0.1305693285652057
5,2030,61,21,0.39792724558991804
5,2030,62,3,0.16129681157113065
5,2030,62,5,0.2241177757500934
5,2030,62,16,0.028829916707584908
5,2030,62,17,0.014777313039144344
5,2030,62,19,0.5475563226648588
5,2030,62,22,0.02342186026718786
5,2030,63,2,0.0572541039024295
5,2030,63,3,0.048704617377465585
5,2030,63,6,0.03710175057587872
5,2030,63,12,0.06200726928706041
5,2030,63,13,0.01255483099704272
5,2030,63,17,0.27535894516045684
5,2030,63,21,0.5070184826996661
5,2030,64,2,0.020955914448482743
5,2030,64,3,0.12091041379818962
5,2030,64,4,0.14355624683198623
5,2030,64,8,0.19814326505767582
5,2030,64,12,0.18804523582289093
5,2030,64,14,0.02356186447151277
5,2030,64,17,0.14735534539924103
5,2030,64,21,0.03604937734065535
5,2030,64,23,0.12142233682936544
5,2030,65,3,0.05657558653151958
5,2030,65,4,0.08302184709047668
5,2030,65,5,0.010133096695117373
5,2030,65,8,0.3665994833059622
5,2030,65,12,0.298737529858054
5,2030,65,14,0.08832329263567845
5,2030,65,17,0.09660916388319171
5,2030,66,1,0.3334428376798758
5,2030,66,3,0.01606754209883779
5,2030,66,19,0.6504896202212864
5,2030,67,1,0.6887998858560632
5,2030,67,2,0.03779915654911
5,2030,67,6,0.13719973863876397
5,2030,67,9,0.13620121895606277
5,2030,68,1,0.6951788745295376
5,2030,68,6,0.24469590721872986
5,2030,68,22,0.06012521825173253
5,2030,69,1,0.5482410674318916
5,2030,69,6,0.28640277339387793
5,2030,69,9,0.14157215774826443
5,2030,69,21,0.023784001425966053
5,2030,70,1,0.2846757049560773
5,2030,70,6,0.19898751049811247
5,2030,70,10,0.1366710961141647
5,2030,70,13,0.3126294837003158
5,2030,70,21,0.06703620473132972
5,2030,71,2,0.05995166964816808
5,2030,71,3,0.13709692301712983
5,2030,71,4,0.13925448125346643
5,2030,71,5,0.020654696717123982
5,2030,71,8,0.15538212954981853
5,2030,71,12,0.21635030525605942
5,2030,71,13,0.10902583192688489
5,2030,71,17,0.10883332838322139
5,2030,71,23,0.053450634248127446
5,2030,72,1,0.31447217651722237
5,2030,72,3,0.015411055738377588
5,2030,72,5,0.11203058705011912
5,2030,72,21,0.026622064238545712
5,2030,72,22,0.02439851473047919
5,2030,72,24,0.507065601725256
5,2030,73,1,0.7313882772590518
5,2030,73,6,0.20664484731773422
5,2030,73,9,0.040415598163297387
5,2030,73,11,0.02155127725991653
5,2030,74,1,0.04694522455530097
5,2030,74,6,0.27503924558313403
5,2030,74,10,0.47962626285113613
5,2030,74,13,0.020006736266428505
5,2030,74,21,0.17838253074400043
5,2030,75,1,0.045803254499037806
5,2030,75,3,0.11436509413860117
5,2030,75,4,0.011559518167827403
5,2030,75,5,0.23034797005631882
5,2030,75,14,0.4170330358427526
5,2030,75,21,0.1357901082322953
