asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
HR_Battery,2050,77577.85030576670,0.73,19394.4625764417,2.19
HR_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
HR_E_Demand,2050,,,0.0000000000,0.0
HR_E_ENS,2050,,7.3905362,0.0000000000,0.0
HR_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
HR_H_Demand,2050,,,0.0000000000,0.0
HR_Hydro,2050,,4.022,0.0000000000,0.0
HR_Hydro_Reservoir,2050,,3.882,0.0000000000,0.0
HR_Pump_Hydro_Open,2050,,0.562,0.0000000000,0.0
HR_Solar,2050,34342.98027538492,6.376,0.0000000000,0.0
HR_Wind_Offshore,2050,119732.61777406993,5.792,0.0000000000,0.0
HR_Wind_Onshore,2050,77356.32865703155,6.0,0.0000000000,0.0
HR_electrolyzer,2050,800000.00000000000,1.849315068,0.0000000000,0.0
HU_Battery,2050,77577.85030576670,1.908,19394.4625764417,5.724
HU_E_Demand,2050,,,0.0000000000,0.0
HU_E_ENS,2050,,24.2696596,0.0000000000,0.0
HU_Gas,2050,95000.00000000000,6.14,0.0000000000,0.0
HU_H_Demand,2050,,,0.0000000000,0.0
HU_Hydro,2050,,0.128,0.0000000000,0.0
HU_Nuclear,2050,950000.00000000000,4.72,0.0000000000,0.0
HU_OCGT,2050,55000.00000000000,0.308,0.0000000000,0.0
HU_Solar,2050,34342.98027538492,46.792,0.0000000000,0.0
HU_Wind_Onshore,2050,77356.32865703155,6.0,0.0000000000,0.0
HU_electrolyzer,2050,800000.00000000000,8.424657534,0.0000000000,0.0
IE_Battery,2050,77577.85030576670,104.412,19394.4625764417,313.236
IE_E_Demand,2050,,,0.0000000000,0.0
IE_E_ENS,2050,,20.344176,0.0000000000,0.0
IE_Gas,2050,95000.00000000000,15.866,0.0000000000,0.0
IE_H_Demand,2050,,,0.0000000000,0.0
IE_Hydro,2050,,0.43,0.0000000000,0.0
IE_OCGT,2050,55000.00000000000,0.232,0.0000000000,0.0
IE_Pump_Hydro_Closed,2050,,0.584,0.0000000000,0.0
IE_Solar,2050,34342.98027538492,24.226,0.0000000000,0.0
IE_Wind_Offshore,2050,119732.61777406993,42.114,0.0000000000,0.0
IE_Wind_Onshore,2050,77356.32865703155,22.616,0.0000000000,0.0
IE_electrolyzer,2050,800000.00000000000,5.410958904,0.0000000000,0.0
IT_Battery,2050,77577.85030576670,285.562,19394.4625764417,856.686
IT_E_Demand,2050,,,0.0000000000,0.0
IT_E_ENS,2050,,142.2730364,0.0000000000,0.0
IT_Gas,2050,95000.00000000000,83.82,0.0000000000,0.0
IT_H_Demand,2050,,,0.0000000000,0.0
IT_Hydro,2050,,31.692,0.0000000000,0.0
IT_Hydro_Reservoir,2050,,19.152,0.0000000000,0.0
IT_OCGT,2050,55000.00000000000,8.64,0.0000000000,0.0
IT_Pump_Hydro_Closed,2050,,12.4,0.0000000000,0.0
IT_Pump_Hydro_Open,2050,,6.508,0.0000000000,0.0
IT_Solar,2050,34342.98027538492,472.268,0.0000000000,0.0
IT_Wind_Offshore,2050,119732.61777406993,37.0,0.0000000000,0.0
IT_Wind_Onshore,2050,77356.32865703155,76.42,0.0000000000,0.0
IT_electrolyzer,2050,800000.00000000000,33.33333334,0.0000000000,0.0
LT_Battery,2050,77577.85030576670,7.316,19394.4625764417,21.948
LT_E_Demand,2050,,,0.0000000000,0.0
LT_E_ENS,2050,,5.701201,0.0000000000,0.0
LT_Gas,2050,95000.00000000000,0.586,0.0000000000,0.0
LT_H_Demand,2050,,,0.0000000000,0.0
LT_Hydro,2050,,0.252,0.0000000000,0.0
LT_Pump_Hydro_Closed,2050,,1.86,0.0000000000,0.0
LT_Solar,2050,34342.98027538492,15.152,0.0000000000,0.0
LT_Wind_Offshore,2050,119732.61777406993,15.2,0.0000000000,0.0
LT_Wind_Onshore,2050,77356.32865703155,11.3,0.0000000000,0.0
LT_electrolyzer,2050,800000.00000000000,4.132420092,0.0000000000,0.0
LU_E_Demand,2050,,,0.0000000000,0.0
LU_E_ENS,2050,,4.50234816,0.0000000000,0.0
LU_H_Demand,2050,,,0.0000000000,0.0
LU_Hydro,2050,,0.086,0.0000000000,0.0
LU_Pump_Hydro_Closed,2050,,2.62,0.0000000000,0.0
LU_Solar,2050,34342.98027538492,4.38,0.0000000000,0.0
LU_Wind_Onshore,2050,77356.32865703155,1.2,0.0000000000,0.0
LU_electrolyzer,2050,800000.00000000000,1.02739726,0.0000000000,0.0
LV_Battery,2050,77577.85030576670,0.298,19394.4625764417,0.894
LV_E_Demand,2050,,,0.0000000000,0.0
LV_E_ENS,2050,,4.2258302,0.0000000000,0.0
LV_Gas,2050,95000.00000000000,0.146,0.0000000000,0.0
LV_H_Demand,2050,,,0.0000000000,0.0
LV_Hydro,2050,,0.0,0.0000000000,0.0
LV_Solar,2050,34342.98027538492,1.21,0.0000000000,0.0
LV_Wind_Offshore,2050,119732.61777406993,15.0,0.0000000000,0.0
LV_Wind_Onshore,2050,77356.32865703155,0.704,0.0000000000,0.0
LV_electrolyzer,2050,800000.00000000000,0.616438356,0.0000000000,0.0
MT_E_Demand,2050,,,0.0000000000,0.0
MT_E_ENS,2050,,1.2473568,0.0000000000,0.0
MT_Gas,2050,95000.00000000000,0.9,0.0000000000,0.0
MT_H_Demand,2050,,,0.0000000000,0.0
MT_Solar,2050,34342.98027538492,0.748,0.0000000000,0.0
MT_electrolyzer,2050,800000.00000000000,0.136986302,0.0000000000,0.0
NL_Battery,2050,77577.85030576670,104.588,19394.4625764417,313.764
NL_E_Demand,2050,,,0.0000000000,0.0
NL_E_ENS,2050,,67.551757,0.0000000000,0.0
NL_Gas,2050,95000.00000000000,30.5,0.0000000000,0.0
NL_H_Demand,2050,,,0.0000000000,0.0
NL_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
